# {'n_epoch': 20000, 'learn_rate': 0.0005, 'hidden_dim': 16, 'dropout': 0.0, 'use_loader': False, 'walk_length': 10, 'num_steps': 5}
idx	Train_Err	Valid_Err	Test_Err	Num_Node
0500	1.6847    	1.7752    	2.9903    	10372.0000
1000	1.0506    	1.3874    	3.1881    	10372.0000
1500	0.8415    	0.9865    	2.6560    	10372.0000
2000	0.7641    	0.8674    	2.1811    	10372.0000
2500	0.7249    	0.9384    	2.0213    	10372.0000
3000	0.6935    	1.1201    	2.0527    	10372.0000
3500	0.6672    	1.4243    	2.2203    	10372.0000
4000	0.6469    	1.8298    	2.5040    	10372.0000
4500	0.6301    	2.3600    	2.9650    	10372.0000
5000	0.6131    	3.3794    	3.9352    	10372.0000
5500	0.5947    	5.9663    	6.2033    	10372.0000
6000	0.5780    	11.1221    	10.1621    	10372.0000
6500	0.5658    	17.8747    	14.8766    	10372.0000
7000	0.5572    	24.1246    	19.0068    	10372.0000
7500	0.5506    	29.9204    	22.5643    	10372.0000
8000	0.5452    	35.4066    	25.6042    	10372.0000
8500	0.5409    	40.5600    	28.4523    	10372.0000
9000	0.5373    	45.1467    	31.0778    	10372.0000
9500	0.5342    	49.2525    	33.6746    	10372.0000
10000	0.5316    	53.2765    	36.0065    	10372.0000
10500	0.5293    	57.0785    	38.1202    	10372.0000
11000	0.5273    	60.4163    	40.0566    	10372.0000
11500	0.5256    	63.6670    	42.0168    	10372.0000
12000	0.5240    	66.4744    	43.7800    	10372.0000
12500	0.5227    	69.2002    	45.5994    	10372.0000
13000	0.5215    	71.2273    	46.9701    	10372.0000
13500	0.5203    	73.4182    	48.5416    	10372.0000
14000	0.5193    	75.5312    	49.9693    	10372.0000
14500	0.5184    	77.3754    	51.2368    	10372.0000
15000	0.5177    	79.0697    	52.4381    	10372.0000
15500	0.5168    	81.0130    	53.7550    	10372.0000
16000	0.5163    	82.9434    	55.0871    	10372.0000
16500	0.5155    	84.4899    	56.0775    	10372.0000
17000	0.5149    	86.1809    	57.1258    	10372.0000
17500	0.5144    	87.6187    	57.9738    	10372.0000
18000	0.5147    	89.6773    	59.1712    	10372.0000
18500	0.5134    	90.7329    	59.5908    	10372.0000
19000	0.5133    	91.5775    	59.8900    	10372.0000
19500	0.5126    	92.9446    	60.6541    	10372.0000
20000	0.5122    	93.9498    	61.2505    	10372.0000

# Best Test_Err: 2.016449213027954