# {'n_epoch': 20000, 'learn_rate': 0.0005, 'hidden_dim': 16, 'dropout': 0.1, 'use_loader': True, 'walk_length': 20, 'num_steps': 20}
idx	Train_Err	Valid_Err	Test_Err	Num_Node
0500	3.1011    	2.1301    	1.5733    	4911.0000
1000	2.1685    	2.2244    	1.1322    	4908.0000
1500	1.3307    	2.3510    	1.1883    	4946.0000
2000	1.0497    	1.9710    	1.0758    	4879.0000
2500	0.9629    	2.2189    	1.3048    	4899.0000
3000	0.9294    	2.0681    	1.1876    	4944.0000
3500	0.9294    	2.1502    	1.2913    	4919.0000
4000	0.9131    	2.1779    	1.2469    	4942.0000
4500	0.8898    	1.8827    	1.1581    	4893.0000
5000	0.9241    	2.4263    	1.4223    	4922.0000
5500	1.0046    	2.8759    	1.6989    	4924.0000
6000	0.9329    	2.3227    	1.4038    	4880.0000
6500	0.8853    	2.4398    	1.4125    	4921.0000
7000	0.8937    	2.5274    	1.4735    	4936.0000
7500	0.8723    	2.2648    	1.3344    	4935.0000
8000	0.8933    	2.2407    	1.3491    	4912.0000
8500	0.8718    	2.3465    	1.3738    	4911.0000
9000	0.9241    	2.6062    	1.5215    	4880.0000
9500	0.9207    	2.6366    	1.5189    	4905.0000
10000	0.8938    	2.4749    	1.4403    	4893.0000
10500	0.8218    	2.1613    	1.2272    	4962.0000
11000	0.8995    	2.5223    	1.4660    	4917.0000
11500	0.9381    	2.6527    	1.5569    	4916.0000
12000	0.8569    	2.4093    	1.3825    	4916.0000
12500	0.8571    	2.2292    	1.2822    	4945.0000
13000	0.8616    	2.2526    	1.3252    	4968.0000
13500	0.8604    	2.2498    	1.3310    	4890.0000
14000	0.9191    	2.4584    	1.4833    	4908.0000
14500	0.8466    	2.0455    	1.2194    	4913.0000
15000	0.9230    	2.5314    	1.5162    	4906.0000
15500	0.8938    	2.3062    	1.3773    	4954.0000
16000	0.9012    	2.5420    	1.4822    	4932.0000
16500	0.8905    	2.2769    	1.3565    	4935.0000
17000	0.8632    	2.0849    	1.2821    	4950.0000
17500	0.9211    	2.3012    	1.4000    	4908.0000
18000	0.8931    	2.0703    	1.2787    	4915.0000
18500	0.8850    	2.0360    	1.2763    	4949.0000
19000	0.8707    	2.0714    	1.2651    	4855.0000
19500	0.8727    	2.0330    	1.2415    	4906.0000
20000	0.8672    	1.9397    	1.1827    	4892.0000

Best Test_Err: 0.921640157699585